Table|Column|Type|Default|Options|Primary|Unique|ForeignTable|ForeignColumn
0|0|INTEGER||GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY|false|false||
0|4|VARCHAR(128)||NOT NULL|false|false||
0|5|VARCHAR(128)||NOT NULL|false|false||
0|6|VARCHAR(256)||NOT NULL|false|false||
0|7|VARCHAR(128)||NOT NULL|false|false||
0|13|TIMESTAMP(6) WITH TIME ZONE|CURRENT_TIMESTAMP|NOT NULL|false|false||
0|14|TIMESTAMP(6) WITH TIME ZONE|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|1|INTEGER||GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY|false|false||
1|0|INTEGER||NOT NULL|false|false|0|0
1|6|VARCHAR(256)||NOT NULL|false|false||
1|7|VARCHAR(128)||NOT NULL|false|false||
1|8|VARCHAR(128)||NOT NULL|false|false||
1|9|VARCHAR(128)|NULL||false|false||
1|13|TIMESTAMP(6) WITH TIME ZONE|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|14|TIMESTAMP(6) WITH TIME ZONE|CURRENT_TIMESTAMP|NOT NULL|false|false||
2|2|INTEGER||GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY|false|false||
2|0|INTEGER||NOT NULL|false|false|0|0
2|7|VARCHAR(128)|NULL||false|false||
2|9|VARCHAR(128)|NULL||false|false||
2|13|TIMESTAMP(6) WITH TIME ZONE|CURRENT_TIMESTAMP|NOT NULL|false|false||
2|14|TIMESTAMP(6) WITH TIME ZONE|CURRENT_TIMESTAMP|NOT NULL|false|false||
3|3|INTEGER||GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY|false|false||
3|1|INTEGER||NOT NULL|false|false|1|1
3|6|VARCHAR(256)||NOT NULL|false|false||
3|8|VARCHAR(128)||NOT NULL|false|false||
3|10|VARCHAR(100000)||NOT NULL|false|false||
3|13|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
3|14|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
4|3|INTEGER||NOT NULL|false|false|3|3
4|11|INTEGER||NOT NULL|false|false||
4|12|VARCHAR(128)|NULL||false|false||
4|13|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
4|14|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
5|2|INTEGER||NOT NULL|false|false|2|2
5|3|INTEGER||NOT NULL|false|false|3|3
5|13|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
5|14|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
